PID,Social Media Post,Normalized Claim
2008,This is quite an extraordinary fact. I wonder how many have other EU passports?,321 UK parliamentarians have Irish passports
2009,"Follow @hindiwikipedia for amazing facts, knowledge Follow @hindiwikipedia to stay updated with all latest information
 
 Comment
 Follow @hindiwikipedia
 Follow @hindiwikipedia
 Follow @hindiwikipedia
 Follow @hindiwikipedia
 
 __
 
 Follow @hindiwikipedia
 Follow @hindiwikipedia
 Follow @hindiwikipedia
 Follow @hindiwikipedia
 
 #gk #news #general knowledge #jaihind #generalknowledgeindia #knowledge #currentaffairs #currentevents #currentaffairsquiz #gkindia #hindigk #hindiwikipedia #hindiwikipedia #competitiveexams #generalknowledgequestios #gkindia #hindigk #gkquiz #preparation #government #hardwork #hindiwikipedia",NASA has accepted that accurate information regarding solar eclipses can be found only in the Indian Panchang
2010,Her mother and I would be surprised if she could deliver anything - she was unable to tie her shoelaces until she was 12. Please turn against fascism poo-poo bear.,"Liz Truss’s father has tweeted saying she could not tie her shoelaces until she was 12, and asking her to “turn against fascism”."
2011,Coronavirus: Activists in bizarre claim 5G could be acting as 'accelerator' for disease,5G WiFi networks could be responsible for the rapid spread of the new coronavirus.
2012,"Verified
How much is a gallon of gas where you live? #JoeBidensAmerica",The claim: Joe Biden is to blame for higher gas prices
2013,"Wacky 
 @glennbeck
  who always seems to be crying (worse than Boehner) speaks badly of me only because I refuse to do his show--a real nut job!",A fact-checker's guide to Michael Wolff's 'Fire and Fury: Inside the Trump White House'
2014,"As far as we are aware, there have been no published clinical trials of sodium bicarbonate as a treatment for cancer",Sodium bicarbonate is a lethal poison to all cancers.
2015,tonight from 11:40pm nobody should be on the street. Doors and windows should remain closed as 5 helicopters spray disinfectants into the air to eradicate the coronavirus. Please process this information to all of your contacts,Five helicopters are going to spray the air with disinfectant overnight in order to combat the new coronavirus
2016,Embassy statement,"""The Russian army does not occupy Ukrainian territory."""
2017,"In the USA
387,087 reports of adverse events of this evil shot in the arm
6,113 deaths
31,240 serious injuries between Dec. 14, 2020 and June 18, 2021","In the USA there have been 387,087 reports of adverse events after the Covid-19 vaccination."
2018,Remember when *Democratic Mayors* in some of Wisconsin's largest cities closed voting locations in April to cause chaos? So do we. Help us protect access to the polls this November: https://protectthevote.com,Says “Democratic Mayors in some of Wisconsin's largest cities closed voting locations in April to cause chaos.”
2019,"there has been no central audit of translation services in the National Health Service, as these services are commissioned by individual NHS organisations",The NHS spends £100 million on translators for 128 languages in five years.
2020,"Only in India! Christiano Ronaldo fans in Kerala have beaten up a Hindu supremacist after he tore up the national flag of Portugal, confusing it as the flag of the Social Democratic Party of India. #FIFAWorldCup2022","Only in India! Cristiano Ronaldo fans in Kerala have beaten up a Hindu supremacist after he tore up the national flag of Portugal, confusing it as the flag of the Social Democratic Party of India. #FIFAWorldCup2022"
2021,"BARATH Ratna Sachin Tendulkar along his family meet to modiji. He gives assured to modiji.tendulker support to BJP, Modi ji. dear brother namaskar to All INDIAN people please vote for BJP vote for Modi ji BARATH Mathaki Jai vandemataram",Former Cricketer Sachin Tendulkar along with his wife met Narendra Modi to show his support for BJP in the General Elections-2019.
2022,"My plan is to thank President Biden for giving Americans the cheapest gas prices on Earth. I gassed up today for $4.29 a gallon at Exxon. 
 
 Thanks Joe.",Biden gave Americans “the cheapest gas prices on Earth.”
2023,PAUSE... Let the cameraman come....,PAUSE… Let the cameraman come….🤡
2024,"This is so confusing...(not)
 
 Over 94% of people who got the first two doses have COVID!
 
 Wait...so that means COVID affects the vaccinated 94% more than the unvaccinated???
 
 How is this still even a conversation?
 
 Not to mention, Victoria was locked down for months because of FIVE CASES last year!!!",More than 94 per cent of Victorians who received two vaccine doses now have COVID-19.
2025,"READ: Chad Booc?
He is no hero volunteer for the indigenous people of Mindanao. Booc is in fact deployed purposely and deliberately as a full-time CPP cadre operative to do 'legal institution' work for the cpp-npa-ndf in the MISFI alternative Lumad or IP schools, in order to unify and implement the cpp-npa-ndf program of expansion, recovery and consolidation among various IP communities in Mindanao.
Booc has consistently been an underground recruiter and operator for the cpp-npa-ndf even during his student days in UP Diliman, where he was part of the CPP Party Branch unit in College of Engineering.
His operations included recruitment of young students, some are minors to become part of the CPP and NDF affiliated organization for the youth and students which supports the armed and terroristic activities of the cpp-npa-ndf - - the organization of KABATAANG MAKABAYAN or KM.
BOOC continues with his nefarious and terroristic activities in Mindanao, by being part of the core cadre operatives of the cpp-npa-ndf who were deployed to provide directional leadership to cpp-created so called MISFI Institution, where the cpp-npa-ndf fund raising, resource generation, recruitment for the NPA, among other activities, have been concealed through their so called 'alternative Lumad schools project,' like ALCADEV, SALUGPUNGAN, etc..
Clearly, Chad Booc is the embodiment of the operational doctrine of the cpp-npa-ndf, known as 'revolutionary dual tactics', where they are able to circumvent and exploit our laws and legal system, to their advantage, just like the duplicitous and deceptive schemes of mafia-like operations of CPP Partylists, led by Zarate, Elago, et al. This dubious CPP-NPA-NDF operative Chad Booc must be exposed to the public, so that their evil deeds against the IPs in Mindanao, especially against the IP youth and children, must be put to a stop, and the bar of justice shall bear upon them.
SAMBAYANAN
February 17, 2021
#Sambayanan
#NTFELCAC #EO70",The UP College of Engineering (UP CoE) is housing a branch of the Communist Party of the Philippines (CPP).
2026,Portable roads of India,Image of a damaged road in India
2027,"Voter ID is supported by an overwhelming majority of NYers, from all across the state, walks of life, & political parties. I'm calling on Gov. Kathy Hochul & the NYS Legislature to enact a law in NY requiring ID to be presented whenever a person shows up to vote.","“Voter ID is supported by an overwhelming majority of NYers, from all across the state, walks of life, & political parties.”"
2028,This kills coronavirus how did they know about it in 2019??,Dettol kills coronavirus
2029,I'm at the nuclear power plant. I'm at the Olympic ski jump. I'm at the combination nuclear power plant Olympic ski jump.,2022 Olympians are competing next to a nuclear power plant
2030,"1 Cr 54 lakhs 
 @KanimozhiDMK
  for this?","Recently, Kanimozhi and Geetha Jeevan inaugurated a bus stop in Thoothukudi. The cost mentioned is Rs.1.54 crore. Do this tin roof and stainless steel rod costs one crore and 54 lakhs?"
2031,"As if it couldn't get any worse. 
 #Hope4Cancer says #RootCanal causes #CANCER
 Solution...
 Rip Cancer patients teeth out.
 Monsters #FalseHope4Cancer 
 #ProtectCancerPatients",having a root canal can cause cancer
2032,"America is 33rd in access to quality education, 33rd in child mortality and 31st in clean drinking water. But our stock market is up.","“West Virginia is near last in the U.S.” rankings of education, clean drinking water, and child mortality."
2033,"Thanks to 
 @theprojecttv
  for having me to discuss the need for truth in political advertising and the Stop the Lies Bill I will introduce next month. 
 The standards of advertising for political parties is non existent, and this needs to change #auspol #stopthelies #misinformation","""It's perfectly legal to lie in a political ad."""
2034,"Among countries with more than 1 lakh cases, India has the second fastest doubling rate. Please tell your ministers to not fool people into a false sense of security dear PM 
 @narendramodi
 . Please.",India has the second fastest doubling rate among the countries with the highest number of COVID-19 cases
2035,"All the death harm and financial destruction done to our country over 2 years 3 months for the death of 83 people You should be in prison 
@ScottMorrisonMP
  and the Premiers. ALL OF YOU",Only 83 people have died solely from COVID-19 in Australia since the start of the pandemic.
2036,"What a coincidence, they're using their existing app to drag people back into dressed up communism, a future planned for all of us if we don't fight","Ukraine just announced it's the first country to implement the WEF's Great Reset by setting up a Social Credit Application combining Universal Basic Income (UBI), a Digital Identity and a Vaccine Passport all within the Diia app."
2037,There are claims circulating that incorrectly state that the Red Cross will not accept convalescent plasma donations from those who have received the COVID-19 vaccine.,The Red Cross says people vaccinated against Covid-19 cannot donate blood plasma because the vaccine wipes out antibodies.
2038,"The aftermath of Glastonbury festival, where they all cheered in support of Greta Thunberg, who was flown in to lecture on saving the planet","Image shows aftermath of Glastonbury festival, where Greta Thunberg gave a lecture on saving the planet."
2039,Did you know. Eating ghee in roti daily strengthens your bones and also ends the problem of hair loss,Clarified butter (ghee) in bread (roti) strengthens bones and reduce hair fall
2040,Argentina Government has decided to give holiday to entire nation between November 15 to December 25 for FIFA World Cup 2022. This was [sic] never happened before in the history of Argentina. This World Cup is going to be something special,The Argentine government is giving the entire nation a public holiday for the duration of the 2022 World Cup.
2041,"Wow check this out.. crowd singing song for #Palestinians in #FifaWorldCup2022
 #Qatar",Wow check this out.. crowd singing song for #Palestinians 😍😍😍😍😍 in #FifaWorldCup2022 #Qatar
2042,JUST IN: BCCI officially suspends IPL 2020 indefinitely in light of the #Coronavirus pandemic.,JUST IN: BCCI officially suspends IPL 2020 indefinitely in the wake of  Coronavirus pandemic.
2043,I agree with you but show what you're talking about specifically or it just more noise.,The UK government now admits that vaccines have damaged the natural immune system of those who have been double-vaccinated.
2044,Are we being biologically changed and tweeked enough just to be labled as a patten through the use of vaccines?,COVID-19 vaccines contain hydrogels that self-assemble and will attack the brain
2045,It's on tv,The COVID-19 vaccine isn't being advertised on TV because all of its side effects would be legally required to appear in the ad
2046,"Power shut down before cyclone effect hits its maximum ...
Stay safe everyone
Image may contain: text","As Cyclone Yasa heads towards Fiji, a social media post claims the nation’s energy provider has warned that energy supplies would be shut down in advance of the storm as a “precautionary measure”."
2047,"Incredible India !
 
 I finally encountered the most beautiful water highway",“Incredible India. I found the most beautiful water highway in India.
2048,"So ... it ""may"" not be real ""earthquakes"".
Time will tell...
For more info see my post before this one.",Turkey earthquakes were a man-made attack on Kurdish people
2049,Where are you.. see after cremating Congress in Gujarat Hardik Patel ready to launch new CD,Where are you.. see after cremating Congress in Gujarat Hardik Patel ready to launch new CD
2050,"DO YOU KNOW,
THAT GROUNDNUT CAN TIGHTEN YOUR PUSSY WITHOUT SIDE EFFECT?

TRY THIS AND THANK ME LATER.

. GOD IS WONDERFUL!

DIRECTION/ PROCEDURE :

Get raw groundnut ..Sun dry it for 2days ,soak together with the shell/back overnight with water drink it in the morning for 4days stop it on 5th day to see the results. You can re soak it with water every day if the water get finished.. Please Don't take too much other wise the place go too tight o, except you want it to be broken the second time. Lol. You can still use your Google to know more about it and thank me later.

By mommy who cares Gift Nyenty
Follow me on Instagram #giftnyenty

Please like our page and share to educate others. Thanks .",groundnut water tightens the vagina
2051,"Did You Know! -40 Every time you eat sugar, your teeth are in danger for the next 20 minutes, so try brushing your teeth after eating sweets. Your cavities will gradually go a way.",brushing can reverse tooth decay
2052,Rebel Shiv Sena leader Shinde. Was drunk on power or just drunk?,Rebel Shiv Sena leader Shinde. Was drunk on power or just drunk?
2053,"4 km long Rack train with 4 engines being run on war footing basis to supply coal to power plants. 
 This is #Modigovt & 
 @narendramodi
  ji's #NewIndia !
 @PMOIndia
  @RailMinIndia
  @CoalMinistry
  @BJP4India
  @BJP4Maharashtra",4 km long rack train with 4 engines being run on war footing basis to supply coal to power plants. This is #Modigov & Narendra Modi ji’s #NewIndia !
2054,refers to activities to identify local COVID-19 outbreaks and support local responses to the pandemic,£37 billion was found to pay Serco for a failed track and trace system.
2055,"The type of compounds we discovered are unique in their structure. And, because they are extremely oxidizing, they most likely bring a host of effects that we have yet to uncover","A new, potentially harmful, chemical found in the atmosphere is linked to ‘chemtrails’."
2056,"We should be investing in jobs and education, not more jails and incarceration.","""Last year, South Carolina spent $21,756 per prison inmate and $11,552 per student."""
2057,"So yes, we do see actors pretending to be Covid patients but this is not staged for media purposes. On the contrary it is being used to help real doctors and nurses prepare for worst case scenarios",An actor was hired to pretend that she had been hospitalised with Covid-19.
2058,"The humanitarian community launched a $333 million Flash Appeal to assist 1.6 million people affected by Cyclone Mocha. The Health Cluster, led by WHO, works with partners to support the recovery of health services to the affected population in cyclone-affected areas. Links below",1. Myth: Garlic can help prevent the disease
2059,Covid breakthrough as 'wonder' statins cut risk of death,Taking statins cuts the risk of dying of Covid-19.
2060,This is new India .,This is new India
2061,"How many messes have been done friends, it is surprising
This is Jumma Pali Mosque located in Ramanathapuram district of Tamil Nadu, which is known for its beauty.
Looking at its interior, don't you think that this building must have once been a temple, which was later converted into a mosque?
best regards.","Friends are very surprised how many messes are being made

This is the Jumma Pali Mosque located in the Ramanathapuram district of Tamil Nadu, which is known for its beauty.

Seeing its internal structure, do not you think that this building must have been a temple, which was later given the form of a mosque?"
2062,"Due to having a few small dents and scratches we have been unable to sell this in our showroom, rather than flog it as second hand we have decided to bring some joy by giving it to someone who has Sharred [sic] then commented by Jan 11th at 5pm. Delivery should be within 2 weeks",Social media users could win a motorhome in exchange for sharing and liking a Facebook post.
2063,"FB servers went down. It sounds like a hack until you learn that their actual DNS name servers were deleted from the registrar. Nothing to see here, they could have updated their DNS, right?
Until you learn that the FB employees couldn't get into the building (their key cards didn't work) to figure out what caused the site to go down and to get the servers back online again.
Hours later everything just comes back on but moving slow? I have a guess. The military raided FB for the servers, took them, and left. When FB regained access to the facility they had to switch to the backup servers, which took a few hours to rebuild.
Now we're seeing FB back online...but who's really in control over it now? Something a LOT BIGGER just happened today, people.",The claim: The military raided Facebook and took its servers
2064,Got milk?,"Raw cow’s milk contains the lactase enzyme, making it easily digestible."
2065,This is great can post this to people that argue with me now. Would be great if we can find the original link though,The vaccines only have temporary approval by the MHRA.
2066,"Doctors can you please explain in Lay terms

 It seems that there are new discoveries to COVID-19

 Thanks to autopsies performed by the Italians ... it has been shown that it is not pneumonia ... but it is: disseminated intravascular coagulation (thrombosis).",Covid-19 patients have been misdiagnosed as having pneumonia when they actually have a blood clotting condition called disseminated intravascular coagulation.
2067,"Our lawyers just sent a criminal referral to AG Barr regarding at least 3,062 instances of voter fraud. We expect that number to grow substantially. Thousands of individuals have been identified who appear to have violated the law by casting ballots after they moved from NV.","Republicans in Nevada found “at least 3,062 instances of voter fraud. ... Thousands of individuals have been identified who appear to have violated the law by casting ballots after they moved from NV."""
2068,"From my lockdown room in #Paris things look grim, but here is some positive advancements #coronavirus: -China has closed down its last coronavirus hospital. Not enough new cases to support them.
- Doctors in India have been successful in treating Coronavirus using...Combination of drugs used: Lopinavir, Retonovir, Oseltamivir along with Chlorphenamine. They are going to suggest same medicine, globally.
- Researchers of the Erasmus Medical Center claim to have found an antibody against #coronavirus- A 103-year-old Chinese grandmother has made a full recovery from #COVID19 after being treated for 6 days in Wuhan, China.- Apple reopens all 42 china stores,
- Cleveland Clinic developed a #COVID19 test that gives results in hours, not days.
- Good news from South Korea, where the number of new cases is declining
- Italy is hit hard, experts say, only because they have the oldest population Europ- Scientists in Israel likely to announce the development of a #coronavirus vaccine.
- 3 Maryland coronavirus patients fully recovered; able to return to everyday life.
- A network of Canadian scientists are making excellent progress in Covid-19 research.A San Diego biotech company is developing a #COVID19 vaccine in collaboration with Duke University and National University of Singapore.
- Tulsa County's first positive COVID-19 case has recovered. This individual has had two negative tests, which is the indicator of recovery.All 7 patients who were getting treated for at Safdarjung hospital in New Delhi are recovered
Plasma from newly recovered patients from Covid -19 can treat others infected by #COVID19So it's not all bad news. Let's care for each other and stay focused on safety of the most vulnerable","Italy is hit hard, experts say, only because they have the oldest population in Europe."
2069,"#Oman just had 5 years worth of rain, led by a fierce & intense #CycloneShaheen, last Sunday.
 
 We are in a #ClimateEmergency & it is not just a fact but a reality we are facing, right now. 
 @GretaThunberg
  @ExtinctionR
 @vanessa_vash
  @parents4future",Visuals related to cyclone Shaheen
2070,"The residents were likely surprised to realize that COVID-19 injections were not only NOT proven to prevent infection or disease, but were known to cause COVID-19 by both Pfizer and the FDA per the FDA submitted, September 17, 2021 document. Many Collier County residents afterwards were thankful for the data presented while others were openly concerned.
 https://karenkingston.substack.com/p/collier-county-commissioners-unanimously/comments",The Pfizer/BioNTech COVID-19 vaccine causes COVID-19
2071,"The decade 2007-17 saw almost 6.5 million new migrant GP registrations. The Lancet medical journal reported (2016) that, ""English primary care as currently delivered could be reaching saturation point."" The correlation is clear. This level of immigration is unsustainable",The Lancet says 6.5 million migrants have registered with GPs in the last 10 years.
2072,"Just for clarification, Scotland does not receive any money from England. We get a part of the money we give England, back",Scotland does not receive any money from England but instead receives part of its contribution back.
2073,So far Biden has talked like a centrist but governed from the radical left,"
Says Joe Biden “has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.”
"
2074,"Car rentals 87.7%
 Gas prices 45.1% 
 Hotel prices 16.9%
 
 Reckless spending is costing Americans more this summer. Instead of fixing inflation, the Democrats plan on spending more.","Says spending by Democrats is driving major jumps in car rentals, gas prices and hotel prices this summer "
2075,"I am convinced that the only time government says anything that is true, it is an accident.",Food prices have gone up 7% and egg prices have gone up 700%
2076,"Without a shred of clinical data to support its decision, the Biden Administration has revoked the emergency use authorization for lifesaving monoclonal antibody treatments.","“Without a shred of clinical data to support its decision, the Biden Administration has revoked the emergency use authorization for lifesaving monoclonal antibody treatments.”"
2077,"Attention all citizens, the central government has announced a provision of 1.5 lakh rupees for every COVID-positive patient to the municipal corporation and municipality. Due to this, the municipal corporation, municipality, private doctors, and testing labs collaborate to increase the number of positive cases as much as possible. Therefore, when someone experiences symptoms like cold, cough, fever, etc., they forcefully admit them as positive. As soon as they receive approval for 1.5 lakh rupees, they declare the patient as recovered and send them back home. The only solution to end this conspiracy is to avoid going to doctors or testing labs. If you have symptoms like cold, cough, or fever, treat them with home remedies at home. Don't become a victim of these fraudsters. Wake up yourself and awaken others. Help each other. I am posting this message only to alert all of you. If you find it appropriate, please keep forwarding it so that people become vigilant, and this information reaches the government, putting an end to this situation. (If anything wrong has happened to anyone, please work to raise awareness among people in your vicinity, neighborhoods, and every street. Don't be afraid, confront it with courage.) These people are exploiting the common public and businessmen for their personal gains. By creating an atmosphere of fear, they are harassing businessmen. Therefore, I also request businessmen that instead of pulling each other down in such times, help one another and raise your voice against this conspiracy. Thank you. Jai Hind - Jai Bharat. A vigilant citizen.",Government of India providing Rupees 1.5 Lakh per COVID-19 patient to every municipality
2078,"The fish is gone; Now Crocodile Location: Kuduvancheri
Chennai
""CM SIR WATCH AND INVESTIGATE""",Crocodile in rainwater in Guduvanchery.
2079,Coronavirus (COVID-19) is large in size where the cell diameter is 400-500 micro and for this reason any mask may prevent its entry,Coronavirus (COVID-19) is large in size where the cell diameter is 400-500 micro and for this reason any mask may prevent its entry - UNICEF
2080,Action Reaction UP Police,Action Reaction UP Police
2081,"What's your reasons for not getting the shots?
Some of my reasons:
They lied about the death rates - any death within 60 days initially, & 28 days subsequently of a positive test using a not fit for purpose diagnostic tool.
They lied about the infection rates due to this
Hardly anyone had died solely of covid
The local and regional news was released simultaneously to create the propaganda of fear
They changed the PCR cycles to find cases and justify lockdowns
The rules didn't make any sense
The Flu disappeared
Most importantly I did a lot of research",The authorities lied about the Covid-19 death rates. Initially it was any death within 60 days of a positive test then 28 days.
2082,it is an incident from Chennai.,People fell into a drain in Chennai after the top concret floor broke
2083,This daughter has been found in Bareilly on the train coming from Mumbai. Her name is Sonal Pate. Plz share further whoever has it. Pray too. Do good. Maybe you will help her reunite with her family,This daughter has been found in Bareilly on the train coming from Mumbai. Her name is Sonal Pate. Plz share further whoever has it. Pray too. Do good. Maybe you will help her reunite with her family.
2084,My statement on Democrats asking companies to violate federal law:,"“If these (telecom and internet) companies comply with the Democrat order to turn over private information, they are in violation of federal law and subject to losing their ability to operate in the United States.”"
2085,"On December 26, 2022 our family experienced something no family should ever have to go through...
 It is incredibly difficult to say this...
 Our Victoria passed away.
 
 She has gone too soon and our family has been completely devastated since then.
 We miss her. More than anything in this world. Our family will never be the same. Life will never be the same.
 
 Victoria was the most beautiful soul who ever lived. She was the best little sister in the world. The best daughter, the best granddaughter and the best godma / aunty to Ava and Alia.
 
 We miss you so much sis. More than you could ever realize. We're all broken. Because a piece of you was in each of us and when you left, those pieces were ripped out of us.
 We will never be the same.
 
 Each and every little thing makes me think of you. From the sun rays, to the sunset. You taught us to see the beauty in the simple things. You were our bright light. Our sunshine. And that will never change. You were perfect in every way. The best person I knew. The most beautiful girl, inside and out.
 We love you Victoria. I love you Sprout. Until the end of time.
 
 .
 .
 .
 
 Please give our family grace and respect during this most difficult time. And please, check on your loved ones. Keep checking on them. Give them hugs and tell them how much they mean to you. You just never know.","MMA fighter Victoria Lee died because of a COVID-19 vaccine.
"
2086,A MESSAGE FROM THE PRESIDENT!,"Monoclonal coronavirus cocktails for all, for free? Not as simple as Trump’s sell"
2087,Cases up only because of our big number testing. Mortality rate way down!!!,"As of June 23, the COVID-19 death rate is “way down.”"
2088,there was no difference in scarlet fever or invasive group A strep (iGAS) notifications,The live flu vaccine has been found to cause strep A.
2089,how much more proof do you want that tests are a massive part of the problem,A BMJ article is proof that the use of PCR tests are a massive part of the problem.
2090,President Joe Biden admits to faking the election,"“President Joe Biden admits to faking the election.”
"
2091,I don't think there will be,Jeremy Corbyn has already accepted that there is going to be a run on the pound in the event of a Labour government.
2092,incidences of hepatitis is [sic] also hitting the 11 - 16 year old age group,The recent rise in cases of hepatitis in children is primarily affecting children aged one month to four years old who have been actively breastfed in the last 12 months. All the children were breastfed by vaccinated mothers.
2093,SO SAD for Meghan as she was DENIED to join THE FUNERAL by QUEEN'S LAST ORDER,Duchess Meghan was denied entry to Queen Elizabeth II's funeral
2094,"because I think the return of University students will lead to an increase in spread and could have a negative impact, I'm just not convinced it will be quite on the scale that is predicted","The return to universities could cause 50,000 deaths from Covid-19 without “strong controls”."
2095,"By giving credit to Bush, a cis-het white male, conspiracy theorists show a lack of respect for the agency of Muslim immigrants.",An article was published in The Atlantic with the headline “The Soft Bigotry of ‘Bush Did 9/11’”.
2096,"The CDC is about to add the Covid vaccine to the childhood immunization schedule, which would make the vax mandatory for kids to attend school.","“The CDC is about to add the COVID vaccine to the childhood immunization schedule, which would make the vax mandatory for kids to attend school.”"
2097,"Did you know that a pinch of cream of tartar under your tongue, may assist with dizziness, vertigo, headaches, migraines?
Let it dissolve under your tongue - it may taste a little tart but don't worry, it will quickly disappear.
This is a potassium salt boost, so make sure that you listen to your body.",Cream of Tartar can cure migraine pain
2098,"Although noone truly knows the cause, it is undeniable that temperatures have risen over the past 20 years. Look at the temperature records and average snowfall.","The US hasn't warmed in 18 years, so emissions-driven warming is a hoax"
2099,BREAKING: A local man has SHOT DOWN the CHINESE SPY BALLOON in an EXTRAORDINARY act of vigilantism,"A vigilante ""shot down the Chinese spy balloon."""
2100,USDA is predicting egg prices will be $12 a dozen by Fall 2022.,The claim: USDA is predicting egg prices will be $12 a dozen by fall 2022
2101,"Had this floating around my family WhatsApp threads. Looks like spam? 
 
 Getting trough family panic and anti-China paranoia about Coronavirus is proving hard enough as it is.",Coronavirus lives for 12 hours on metal surfaces.
2102,"This is my granny, Mrs Stalla Smith. She turns 105 today. Any chance I can muster 210 shares (double her age) here on Facebook? She will be amazed and baffled in equal measure. Thank you",Relatives of a 105-year-old grandmother are asking Facebook users to share a post 210 times.
2103,Rahul Gandhi with a glass of alcohol and chicken,Tapasvi is engrossed in penance
2104,we do not bankroll @labour,Just Stop Oil bankrolls the Labour Party.
2105,"Be careful of vaccinated people spreading COVID to you! They are a threat to the unvaccinated. Less severe symptoms means they may not know they have it and then may spread it to you, putting your life at risk They are the real threat. The ones who are spreading it unknowingly.","With COVID-19, vaccinated people ""are the real threat to"" unvaccinated people."
2106,Dr. Fauci's wife's secret plan to put psych drugs in drinking water,Anthony Fauci’s wife has “a secret plan to put psych drugs in drinking water” to get people vaccinated.
2107,"This fall is not driven solely by the vote itself (new English language requirements were also introduced in 2016 for example), but just as with the Francis report, the timing is hard to ignore.",A new English language test has been introduced for nurses which means that some people who would otherwise have been able to practice can’t.
2108,"Traditionally, the Speaker says: ""Members of Congress, I have the high privilege and distinct honor of presenting to you the President of the United States.""
 
 Speaker Pelosi said ""Members of Congress, the President of the United States.""","“Traditionally, the Speaker says: ‘Members of Congress, I have the high privilege and distinct honor of presenting to you the President of the United States.’ (Tonight) Speaker Pelosi said, ‘Members of Congress, the President of the United States.’ """
2109,"They were seeing signals that were unusual, and so they consulted the DMED database and were shocked to find enormous increases in 2021, when the vaccine mandates were implemented to the military, compared to 2020 in a wide variety of diseases, including cancers, things related to reproduction and female reproductive health",Data from the US military shows a sharp rise in the incidence of various diseases in 2021.
2110,Appreciate all the support but - truth is I should be better than the guys baiting me. This happens all the time these days. Often in front of my family. But there is a lesson: no need to add to the ugliness; I should be better than what I oppose.,The Fredo flap and the nuances of an insult
2111,"Malabar gold is a Muslim owned shop, scholarship is given only for the Muslim girls. We Hindus should...?","Malabar gold is a Muslim owned shop, scholarship is given only for the Muslim girls. We Hindus should…?"
2112,Sickening. What has the world come to when doctors are misdiagnosing patients intentionally because of their ideological views?,The claim: Mayo Clinic staff member misdiagnosed pregnancies of Trump supporters
2113,A plea from NHS staff. Please please please make sure you and your family all dig out your NHS number and have a copy of it it [sic] immediately to hand for when you or they are called for the COVID jab. From my colleagues on the front line this is far and away the biggest bottle neck when it comes to administering the vaccine to as many people as quickly as possible. You can find your NHS number on any NHS correspondence or through the app. It would also be really helpful if you can share this message with everyone you know. Thank you,Make sure you and your family all dig out your NHS number and have a copy of it immediately to hand for the Covid jab. NHS staff on the front line say this is the biggest bottleneck when it comes to administering the vaccine to as many people as quickly as possible.
2114,"No more lockdowns, no more mask mandates. Let's get our kids back in school.",“The seasonal cold and flu is actually more dangerous for kids than the Coronavirus” and “there is very low transmissibility from children to their families and communities.”
2115,Where did you make tattoo of poor Raut?,Shiv Sainik got Sanjay Raut's tattoo get on his body
2116,Just digest this for a moment - a minority of only 16% have achieved all this in only a few years-PLANNED FROM THE START! You do the projections.......................,"There are over 3,000 mosques in Britain."
2117,"where possible, information on differences in the average awards paid to men and women is taken into account",86% of austerity has fallen on women.
2118,"God should not give such a son to the enemy, who neither takes off his shoes nor takes off his coat nor takes off his cap at the funeral of his father but performs the last rites of the father only by becoming a big leader by putting a thread on the jacket. He is the hopeless son, God should not give such a son to the enemy. Friends, what is the use of earning thousands of crores of wealth by becoming MLA, MP, Minister, or Chief Minister? When the real son also does not perform the last rites properly",Akhilesh Yadav wore shoes during his father's funeral
2119,"Two letters to the NEJM just published:
 
  - Pfizer says new data shows 1 dose is 93% effective after 2 weeks, almost as good as 2 doses. They urge a change in policy to single dosing.
 
  - Moderna basically saying their vaccine is good against all variants except possibly S.A.",Pfizer has recommended switching to a one-dose policy for its vaccine
2120,An estimated 350 people marched through London today in protest over Covid restrictions and vaccines,BBC News reported that 350 people attended the anti-lockdown protest in London on 29 May 2021.
2121,"this information is not routinely collected for business purposes, so we hold no comprehensive list of this nature",321 UK parliamentarians have Irish passports
2122,"BREAKING:  There has been a explosion near the Police Lines Peshawar, Khyber Pakhtunkhwa. Initial reports suggest the mosque inside the police lines: Police/ Rescue 1122 
 #sunotv #Peshawar","A picture shows rescue authorities, and others, in the aftermath of a blast on 30 January 2023 in the Police Lines neighbourhood of Peshawar, Pakistan."
2123,"This is why Bill Gates ""predicted"" a monkeypox outbreak....he knew exactly what was going to happen",Covid vaccine cause monkeypox
2124,"The arrest of Manish Sisodia, a descendant of Maharana Pratap, has hurt this man the most","Bhagwant Mann stumbled and fell during a public meeting in Moga, Punjab"
2125,"Oh 
 Shame.",A Hindu Boy – “Manoj Pandey” (15 yrs old) stabbed to death by Islamist jihadis in Patel Nagar for protesting against the molestation of his sister. “Mughal 2.0” in India🇮🇳
2126,"Reporter: Why force a rape or incest victim to carry a pregnancy to term?
 
 Gov. Greg Abbott (R-TX): ""It doesn't require that at all, because obviously it provides at least 6 weeks for a person to be able to get an abortion.""",The Texas abortion law “provides at least six weeks for a person to be able to get an abortion.”
2127,"Tight, corked tongue, very tortured, so I could think of traditional herbal medicines at home. so try to find something to eat is to fetch water from the banana tree Any banana tree, such as Nam Wa, Kluai Khai, Wild Banana, the better. Measure water from the banana tree in the early morning. The oil will flow better than late morning. Take two spoons a day. It will feel better and will gradually disappear. Eat regularly to get very good results. I have been eating for 15 days. Currently, I am completely healed. Guarantee that it's gone. Never come back again
",Liquid extracted from banana trees is beneficial in treating acid reflux
